date,time,team_home,team_away,total,over,under
30 Jul  2020,02:10,LAA,SEA,1.0,1.39,2.81
30 Jul  2020,02:10,LAA,SEA,+5 ,1.98,1.88
30 Jul  2020,01:45,SF,SD,2.0,1.30,3.23
30 Jul  2020,01:45,SF,SD,+3.5 ,1.80,1.97
30 Jul  2020,00:10,MIN,STL,+5 ,1.81,2.08
29 Jul  2020,23:35,BAL,MIA,+9,1.90,1.90
29 Jul  2020,23:35,BAL,NYY,+3.5 ,1.56,2.54
29 Jul  2020,23:10,ATL,TB,+4.5 ,1.90,1.87
29 Jul  2020,23:10,DET,KC,+5 ,1.81,2.07
29 Jul  2020,23:10,HOU,LAD,3.0,1.50,2.47
29 Jul  2020,23:10,HOU,LAD,+5 ,1.89,1.98
29 Jul  2020,23:10,NYM,BOS,+3.5 ,1.77,2.03
29 Jul  2020,23:05,NYY,PHI,+9,1.95,1.85
